fila,identificador,decision,attack_anterior,attack_corregido,d3fend_anterior,d3fend_corregido,d3fend_excluido_anterior,d3fend_excluido_recalculado,d3fend_recomendado_no_inferido_por_catalogo,attack_deshabilitado_en_catalogo,motivo
1,[AUT][Public IP]CU046_Possible_external_brute_force,OK,"T1110 - Brute Force, T1110.001 - Password Guessing","T1110 - Brute Force, T1110.001 - Password Guessing",D3-OPM - Operational Process Monitoring; D3-PM - Platform Monitoring; D3-UBA - User Behavior Analysis,D3-CAA - Connection Attempt Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-CCSA - Credential Compromise Scope Analysis,D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-CCSA - Credential Compromise Scope Analysis; D3-OPM - Operational Process Monitoring; D3-PM - Platform Monitoring,D3-CAA - Connection Attempt Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,Login fallido Citrix por usuario y multiples paises; fuerza bruta/password guessing con analitica de comportamiento y geolocalizacion.
2,[AUT][Public IP]CU087_Trojan_Backdoor_Spyware_from same IP,OK,T1190 - Exploit Public-Facing Application,T1190 - Exploit Public-Facing Application,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-DQSA - Database Query String Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,,WAF/F5 detecta payload malware en trafico web publico; encaja mejor como explotacion de aplicacion publica.
3,[AUT][Public IP]CU102_WAF_Successful_Connection_from_Alerted-IOC_IP,OK,T1190 - Exploit Public-Facing Application,"T1190 - Exploit Public-Facing Application, T1595.002 - Vulnerability Scanning",D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-URA - URL Reputation Analysis,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-URA - URL Reputation Analysis,T1595.002,Conexion exitosa desde IP alertada/IOC al WAF; explotacion/probing de superficie publica con reputacion de URL/IP.
4,[AUT][Public IP]CU103_Multiple_rsp_codes_4xx_5xx,AJUSTAR,"T1083 - File and Directory Discovery, T1190 - Exploit Public-Facing Application, T1592 - Gather Victim Host Information, T1595 - Active Scanning, T1595.002 - Vulnerability Scanning","T1190 - Exploit Public-Facing Application, T1595 - Active Scanning, T1595.002 - Vulnerability Scanning",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,"T1595, T1595.002",Multiples 4xx/5xx indican escaneo/explotacion web; T1083/T1592 son demasiado amplios para esta logica.
5,[AUT][Public IP]CU105_Waf_Try_path_exec_Alert,AJUSTAR,"T1059 - Command and Scripting Interpreter, T1190 - Exploit Public-Facing Application","T1059.004 - Unix Shell, T1190 - Exploit Public-Facing Application",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-DQSA - Database Query String Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis,T1059.004,Intento de ejecutar bash via WAF/SDK; Unix shell sobre explotacion de app publica.
6,[AUT][Public IP]CU115_Multiples_Detections_IPS_Checkpoint,AJUSTAR,"T1046 - Network Service Discovery, T1190 - Exploit Public-Facing Application, T1499 - Endpoint Denial of Service, T1590 - Gather Victim Network Information, T1592 - Gather Victim Host Information, T1595 - Active Scanning","T1046 - Network Service Discovery, T1190 - Exploit Public-Facing Application, T1595 - Active Scanning",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-CAA - Connection Attempt Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,D3-UBA - User Behavior Analysis,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-CAA - Connection Attempt Analysis,"T1046, T1595","Multiples IPS Checkpoint desde una IP; aplica escaneo/explotacion, no DoS ni gathering generico."
7,[AUT][Public IP]CU120_WAF_Detection_Bash_Usage_F5_SDK_URLs,OK,"T1059.004 - Unix Shell, T1190 - Exploit Public-Facing Application","T1059.004 - Unix Shell, T1190 - Exploit Public-Facing Application",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-PA - Process Analysis,T1059.004,Bash en SDK/URL F5: shell Unix mas explotacion de aplicacion publica.
8,[AUT][Public IP]CU129_Checkpoint_IPS_Detections_with_IOC,AJUSTAR,"T1133 - External Remote Services, T1190 - Exploit Public-Facing Application, T1583 - Acquire Infrastructure, T1587.001 - Malware, T1588 - Obtain Capabilities, T1588.002 - Tool, T1595 - Active Scanning","T1046 - Network Service Discovery, T1190 - Exploit Public-Facing Application, T1595 - Active Scanning",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-CAA - Connection Attempt Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-URA - URL Reputation Analysis,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-CAA - Connection Attempt Analysis; D3-URA - URL Reputation Analysis,"T1046, T1595",IPS con IOC: escaneo/intento de explotacion; sobran acquire/obtain capabilities.
9,[AUT][Public IP]CU131_Abnormal_UserAgent_Detection,AJUSTAR,"T1071.001 - Web Protocols, T1190 - Exploit Public-Facing Application","T1190 - Exploit Public-Facing Application, T1595.001 - Scanning IP Blocks",D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,T1595.001,User-Agent anomalo en WAF sugiere herramienta/escaneo web; T1071.001 solo aplicaria si se confirma C2 web.
10,[AUT][Public IP]CU137_Checkpoint_Drop-Detect-ips_conection_with_IOC,AJUSTAR,T1071 - Application Layer Protocol,"T1046 - Network Service Discovery, T1190 - Exploit Public-Facing Application, T1595 - Active Scanning",D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-CAA - Connection Attempt Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-URA - URL Reputation Analysis,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-CAA - Connection Attempt Analysis; D3-URA - URL Reputation Analysis,"T1046, T1595",Descripcion explicita T1046/T1595/T1190; T1071 no representa la logica principal.
