IDENTIFICADOR,GRUPO,DISPOSITIVO,TIPO,OBJETIVO2,Tipo_bloqueo,NOMBRE NETWITNESS,RESPONSABLE,Monitoreo,status2,Fecha alta/ajuste,Fecha puesta en produccion,MITRE ATT&CK,D3FEND_EXCLUIDO,D3FEND_INFERIDO,Severidad,Escalamiento,ENVIO.HO,FUENTES,Fecha ultima validacion,Habilitado,Motivo deshabilitacion,Comentarios,Regla completa,Descripcion funcional
[AUT][Public IP]CU046_Possible_external_brute_force,CITRIX_ADC,CITRIX-NETSCALER,P.Perimetral,Identificar mas de 4 login fallidos desde distinta zona geográfica en menos de 30 min con un mismo usuario,Automático,[AUT][Public IP]CU046_Possible_external_brute_force,,,Producción,,2023-01-01,"T1110 - Brute Force, T1110.001 - Password Guessing",D3-AEM - Application Exception Monitoring; D3-APM - Application Performance Monitoring; D3-CCSA - Credential Compromise Scope Analysis,D3-OPM - Operational Process Monitoring; D3-PM - Platform Monitoring; D3-UBA - User Behavior Analysis,High,AUT,Sí,citrixns,,Si,,,"module Module_CU46_RL_SPSM_CITRIX_NETSCALER;

	
    
    @Name('[AUT][Public IP]CU046_Possible_external_brute_force')
    @Description('Multiple failed login attempts for the same user preceded in multiple countries VPN-v1.0')
    @RSAAlert(oneInSeconds=0)

    SELECT * FROM Event(
			/* Login Failed */
			(
			device_type.toLowerCase() IN ( 'citrixns' ) 
		 AND

 ec_theme.toLowerCase() IN ( 'authentication' ) 
			AND ec_outcome.toLowerCase() IN ( 'failure' ) 
			AND user_dst IS NOT NULL
                        AND isOneOfIgnoreCase(direction,{ 'inbound' })
			AND country_src IS NOT NULL
			)
        
		)
    
	.std:groupwin(user_dst)
    .win:time_length_batch(30 Minutes, 5)
    GROUP BY user_dst 
    HAVING COUNT(distinct country_src) >= 5;","Title: login fallido por usuario vs Tiempo-Localización
description: ""Identificar mas de 4 login fallidos desde distinta zona geográfica en menos de 30 min con un mismo usuario""
author: ""SOC ICBC""
status: Testing
date: 2021/02/23
tags:
- attack.credential_access
- attack.brute_force
- attack.TA0006
- attack.TA1110"
[AUT][Public IP]CU087_Trojan_Backdoor_Spyware_from same IP,WEB,F5-ASM,P.Perimetral,Detección de un escenario de distintos tipos de malwares registrados por el ASM en un corto lapso.,Automático,[AUT][Public IP]CU087_Trojan_Backdoor_Spyware_from same IP,,,Producción,,2023-01-01,T1190 - Exploit Public-Facing Application,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,Medium,Otro,Sí,f5_asm,,Si,,,"module CU087_NEW_Trojan_Backdoor_Spyware_from_same_IP;
        
@Name('[AUT][Public IP]CU087_Trojan_Backdoor_Spyware_from same IP')       
@RSAAlert(oneInSeconds=300, identifiers={""ip_src""})

SELECT * FROM Event(
    device_type.toLowerCase() = 'f5_asm'
    AND (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
    AND (org_src.toLowerCase() NOT IN ( 'microsoft corporation' ))
    AND event_type.toLowerCase() IN ( 'trojan\/backdoor\/spyware' )
    AND ip_src IS NOT NULL
    AND ip_src NOT IN ( '138.255.82.5' ))

.std:groupwin(ip_src)
.win:time_length_batch(5 Minutes, 2)
GROUP BY ip_src
HAVING COUNT(*) >= 2;",
[AUT][Public IP]CU102_WAF_Successful_Connection_from_Alerted-IOC_IP,WEB,F5-ASM,P.Perimetral,"Detección de conexiones exitosas desde IPs marcadas como ""alerted"" desde el WAF o marcadas como IOC por NW.",Automático,[AUT][Public IP]CU102_WAF_Successful_Connection_from_Alerted-IOC_IP,ICBC,,Producción,,2024-04-25,T1190 - Exploit Public-Facing Application,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-ISVA - Inbound Session Volume Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,High,AUT,Sí,f5_asm,2026-07-06,Si,,,"module CU102_WAF_Successful_Connection_from_Alerted_IOC_IP;

@Name('[AUT][Public IP]CU102_WAF_Successful_Connection_from_Alerted-IOC_IP')
@RSAAlert(oneInSeconds=43200, identifiers={""ip_src""})

SELECT * FROM Event(
	device_type.toLowerCase() = 'f5_asm'
        AND (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
        AND (org_src.toLowerCase() NOT IN ( 'microsoft corporation' ))
        AND isOneOfIgnoreCase(action,{'alerted'})
        AND result_code = '200'
	AND ioc IS NOT NULL
	AND ip_src IS NOT NULL AND stransipv4 IS NULL
)
.std:groupwin(ip_src)
.win:time_length_batch(25 Minutes, 10)
GROUP BY ip_src
HAVING COUNT(*) > 11",Detecta conexiones exitosas desde IPs marcadas como alertadas desde el WAF o marcadas como IOC por NW.
[AUT][Public IP]CU103_Multiple_rsp_codes_4xx_5xx,WEB,F5-ASM,P.Perimetral,Detección de multiples respuestas 4xx y 5xx,,[AUT][Public IP]CU103_Multiple_rsp_codes_4xx_5xx,ICBC,1 alerta cada 5 mintos cada 45 eventos de ips_src,Producción,2024-06-11,2024-07-08,"T1083 - File and Directory Discovery, T1190 - Exploit Public-Facing Application, T1592 - Gather Victim Host Information, T1595 - Active Scanning, T1595.002 - Vulnerability Scanning",,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,High,AUT,,,,Si,,,"module CU103_Multiple_rsp_codes_4xx_5xx;
        
@Name('[AUT][Public IP]CU103_Multiple_rsp_codes_4xx_5xx')       
@RSAAlert(oneInSeconds=300, identifiers={ ""ip_src""})

SELECT * FROM Event(
    device_type.toLowerCase() = 'f5_asm'

    AND (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
    AND (org_src.toLowerCase() NOT IN ( 'microsoft corporation' ))

    AND web_page.toLowerCase() NOT LIKE '%/accstatic/%'
    AND web_page.toLowerCase() NOT LIKE '%fonts%'
    AND web_page.toLowerCase() NOT LIKE '%bkb%'
    AND web_page.toLowerCase() NOT LIKE '%.woff%'
    AND web_page.toLowerCase() NOT LIKE '%.ttf%'

    AND ip_src IS NOT NULL AND stransipv4 IS NULL

    AND (domain_src IS NULL OR domain_src.toLowerCase() NOT LIKE 'google.com' )

    AND (
        result_code REGEXP '4[0-9]{2}'
        OR
        result_code REGEXP '5[0-9]{2}'
    )
)
.std:groupwin(ip_src)
.win:time_length_batch(3 Minutes, 45)
GROUP BY ip_src
HAVING COUNT(CASE WHEN result_code REGEXP '4[0-9]{2}' THEN 1 END) >= 45
OR COUNT(CASE WHEN result_code REGEXP '5[0-9]{2}' THEN 1 END) >= 20;","action: global
title: 'Multiple response codes 4XX y 5XX  '

status: Producción

description: 'Detección de posible actividad de explotación'
author: SOC-ICBC_KC
date_testing: 2024/06/11
date_prod: 2024/07/08
Last_Update: 2024/07/10 -KC se agrego excepción para whitelist"
[AUT][Public IP]CU105_Waf_Try_path_exec_Alert,WEB,F5-ASM,P.Perimetral,Detección de posible exploración XLM,,[AUT][Public IP]CU105_Waf_Try_path_exec_Alert,Icbc,"Actor de interes ip_src, busca 20 ocurrencias en 3 minutos",Producción,,2024-07-23,"T1059 - Command and Scripting Interpreter, T1190 - Exploit Public-Facing Application",,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-DQSA - Database Query String Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,High,,,f5_asm,,Si,,,"module CU105_WAF_Try_path_exec;

@Name('[AUT][Public IP]CU105_WAF_Try_path_exec')
@RSAAlert(oneInSeconds=300, identifiers={ ""ip_src""})

SELECT * FROM Event(
    device_type.toLowerCase() = 'f5_asm'
    AND (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
    AND (org_src.toLowerCase() NOT IN ( 'microsoft corporation' ))
    
    AND ip_src IS NOT NULL AND stransipv4 IS NULL

    AND (
        result_code = '200'
        OR
        result_code = '0'
    )

    AND NOT (
    web_page.toLowerCase() LIKE '%/accstatic/%'
    OR
    web_page.toLowerCase() LIKE '%/internet/mtk/%'
    OR
    web_page.toLowerCase() LIKE '%fonts%'
    OR
    web_page.toLowerCase() LIKE '%bkb%'
    OR
    web_page.toLowerCase() LIKE '%/digital/contenthandler/%'
    OR
    web_page.toLowerCase() LIKE '%/common-resources/%'
    OR
    web_page.toLowerCase() LIKE '%transferencia%'
    OR
    web_page.toLowerCase() LIKE '%personas%'
    OR
    event_desc LIKE '%Unix/Linux \""ftp\"" execution attempt (Parameter)%'
    OR
    ip_src IS NULL
    OR
    web_page.toLowerCase() LIKE '%.do%'
    OR
    web_page.toLowerCase() LIKE '%.woff%'
    OR
    web_page.toLowerCase() LIKE '%.ttf%'
    OR
    web_page.toLowerCase() LIKE '%.xml'
    OR
    web_page.toLowerCase() LIKE '%.gif'
    OR
    web_page.toLowerCase() LIKE '%.jpg'
    OR
    web_page.toLowerCase() LIKE '%.png'
    OR
    web_page.toLowerCase() LIKE '%.css'
    OR
    web_page.toLowerCase() LIKE '%.js'
    OR
    web_page.toLowerCase() LIKE '%empresas%'
    OR
    web_page.toLowerCase() LIKE '%institucional%'
    )

)
.std:groupwin(ip_src)
.win:time_length_batch(3 Minutes, 40)
GROUP BY ip_src
HAVING COUNT(*) > 39;","action: global
title: '[AUT]CU105_WAF_Try_path_exec'

status: Producción

description: 'Detección de Possible xml discover'
author: SOC-ICBC_KC
date_testing: 2024/06/17"
[AUT][Public IP]CU115_Multiples_Detections_IPS_Checkpoint,FIREWALLS,Checkpoint,P.Perimetral,Alertar cuando existen multiples detecciones de IPS para una misma IP en checkpoint,,[AUT][Public IP]CU115_Multiples_Detections_IPS_Checkpoint,ICBC,"Actor de interés ip.src, umbral 10 detecciones en 5 minutos",Producción,,2025-01-02,"T1046 - Network Service Discovery, T1190 - Exploit Public-Facing Application, T1499 - Endpoint Denial of Service, T1590 - Gather Victim Network Information, T1592 - Gather Victim Host Information, T1595 - Active Scanning",D3-UBA - User Behavior Analysis,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UGLPA - User Geolocation Logon Pattern Analysis,High,,,Checkpointfw1,,Si,,,,
[AUT][Public IP]CU120_WAF_Detection_Bash_Usage_F5_SDK_URLs,WEB,F5-ASM,P.Perimetral,detectar la utilización de bash a través del sdk del f5 o a través de alguna URL de los sitios que monitorea el ASM,,[AUT][Public IP]CU120_WAF_Detection_Bash_Usage_F5_SDK_URLs,NOVA,Actor de interes ip_src,Producción,,2025-03-05,"T1059.004 - Unix Shell, T1190 - Exploit Public-Facing Application",,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,Medium,,,Checkpointfw1; f5_asm,,Si,,,"module CU120_WAF_Detection_Bash_Usage_F5_SDK_URLs;

@Name('[AUT][Public IP]CU120_WAF_Detection_Bash_Usage_F5_SDK_URLs')
@RSAAlert(oneInSeconds=3600, identifiers={""ip_src""})
SELECT * FROM 
	Event (
			nsoc_id IS NOT NULL AND (org_src.toLowerCase() NOT IN ( 'microsoft corporation' )) AND stransipv4 IS NOT NULL
			AND
			nsoc_id.toLowerCase() = 'nsoc2008'
);",Detectar explotación SDK F5 y comando bash
[AUT][Public IP]CU129_Checkpoint_IPS_Detections_with_IOC,FIREWALLS,Checkpoint,P.Perimetral,"Detecta múltiples eventos de prevención (IPS) generados por dispositivos Check Point desde una misma IP de origen en un corto periodo de tiempo, todos asociados a indicadores de compromiso (IOC). Mapea con MITRE ATT&CK T1595 - Active Scanning.",,[AUT][Public IP]CU129_Checkpoint_IPS_Detections_with_IOC,ICBC,"Ip.src, 3 ventos en 5 minutos",Producción,2025-05-01,2025-05-06,"T1133 - External Remote Services, T1190 - Exploit Public-Facing Application, T1583 - Acquire Infrastructure, T1587.001 - Malware, T1588 - Obtain Capabilities, T1588.002 - Tool, T1595 - Active Scanning",,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,Medium,,,Checkpointfw1,,Si,,,"module CU129_Checkpoint_IPS_Detections_with_IOC;
@Name('[AUT][Public IP]CU129_Checkpoint_IPS_Detections_with_IOC')
@RSAAlert(oneInSeconds=3600, identifiers={ ""ip_src"" })


SELECT * FROM Event (
        (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
        AND (org_src.toLowerCase() NOT IN ( 'microsoft corporation' ))
        AND
        device_class.toLowerCase()  = 'firewall'
        AND
        isOneOfIgnoreCase(alias_host,{ 'cn\\=f-mtz-sf1-web-cp','cn\\=f-sky-drp-web-cp' }) 
        AND
        event_type.toLowerCase() IN ( 'ips', 'detect' ) 
        AND
        ioc IS NOT NULL
        AND (alert IS NULL OR isNotOneOfIgnoreCase(alert,{  'useragent anormal' }))
      
    )
    .std:groupwin(ip_src)
    .win:time_length_batch(5 minutes, 3)
GROUP BY ip_src
HAVING count(*) >= 3;","Detecta múltiples eventos de prevención (IPS) generados por dispositivos Check Point desde una misma IP de origen en un corto periodo de tiempo, todos asociados a indicadores de compromiso (IOC). Mapea con MITRE ATT&CK T1595 - Active Scanning."
[AUT][Public IP]CU131_Abnormal_UserAgent_Detection,FIREWALLS,Checkpoint,P.Perimetral,"Detecta accesos con User-Agent inusuales o potencialmente maliciosos que no corresponden a navegadores legítimos o aplicaciones autorizadas, lo que puede indicar herramientas automatizadas, escáneres o actividad de reconocimiento previa a una intrusión",,[AUT][Public IP]CU131_Abnormal_UserAgent_Detection,ICBC,Actor de interes alert('useragent anormal'),Producción,2025-05-12,2025-05-22,"T1071.001 - Web Protocols, T1190 - Exploit Public-Facing Application, T1583.006 - Web Services, T1595.001 - Scanning IP Blocks",,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,High,AUT,,,,Si,,,"module CU131_Abnormal_UserAgent_Detection;

@Name('[AUT][Public IP]CU131_Abnormal_UserAgent_Detection')
@Description('Detecta accesos con User-Agent inusuales o potencialmente maliciosos que no corresponden a navegadores legítimos o aplicaciones autorizadas, lo que puede indicar herramientas automatizadas, escáneres o actividad de reconocimiento previa a una intrusión.')
@RSAAlert(oneInSeconds=3600, identifiers={""ip_src""})

SELECT * FROM Event(
    device_type.toLowerCase() IN ('f5_asm','checkpointfw1')
    AND (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
    AND (isOneOfIgnoreCase(alias_host,{ 'cn\\=f-mtz-sf1-web-cp','cn\\=f-sky-drp-web-cp','a-sky-drp-bigip-web.ardp.local'}))
    AND (org_src.toLowerCase() NOT IN ( 'microsoft corporation' ))
    AND (isOneOfIgnoreCase(alert,{ 'useragent anormal' }))
    AND ip_src IS NOT NULL AND stransipv4 IS NULL
    
);","Descripción:
Detecta accesos con User-Agent inusuales o potencialmente maliciosos que no corresponden a navegadores legítimos o aplicaciones autorizadas, lo que puede indicar herramientas automatizadas, escáneres o actividad de reconocimiento previa a una intrusión.

MITRE ATT&CK:

T1071.001 – Application Layer Protocol: Web Protocols

T1583.006 – Acquire Infrastructure: Web Services

T1595.001 – Active Scanning: Web Application Scanning"
[AUT][Public IP]CU137_Checkpoint_Drop-Detect-ips_conection_with_IOC,FIREWALLS,Checkpoint,P.Perimetral,"Detectar 10 o más eventos (drop/detect/IPS) de CheckPoint en 8 min desde una misma IP con catalogada con IOC, indicando posible escaneo o intento de explotación. MITRE T1046, T1595, T1190 | D3FEND D3-IPR, D3-NIP, D3-NTF, D3-NTA.",,[AUT][Public IP]CU137_Checkpoint_Drop-Detect-ips_conection_with_IOC,ICBC,,Producción,2025-10-07,2025-10-13,"T1046 - Network Service Discovery, T1071 - Application Layer Protocol, T1190 - Exploit Public-Facing Application, T1595 - Active Scanning",,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,High,,,Checkpointfw1,,Si,,,"module CU137_Checkpoint_Drop_Detect_ips_conection_with_IOC;

@Name('[AUT][Public IP]CU137_Checkpoint_Drop-Detect-ips_conection_with_IOC')
@RSAAlert(oneInSeconds=3600, identifiers={ ""ip_src"" })


SELECT * FROM Event (
    (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
    AND
    (org_src IS NULL OR org_src.toLowerCase() NOT IN ( 'microsoft corporation' ))

    AND
    device_class.toLowerCase()  = 'firewall'
    AND
    isOneOfIgnoreCase(alias_host,{ 'cn\\=f-mtz-sf1-web-cp','cn\\=f-sky-drp-web-cp' })
    AND
    event_type.toLowerCase() IN ( 'drop' , 'detect' , 'ips' )
    AND
    ioc IS NOT NULL


    )

.std:groupwin(ip_src)
.win:time_length_batch(8 minutes, 30)
GROUP BY ip_src
HAVING count(*) >= 10;","Detectar 10 o más eventos (drop/detect/IPS) de CheckPoint en 8 min desde una misma IP con catalogada con IOC, indicando posible escaneo o intento de explotación. MITRE T1046, T1595, T1190 | D3FEND D3-IPR, D3-NIP, D3-NTF, D3-NTA"
